course_id,title,domain,duration_weeks,difficulty,skill_tags,description
1,Introduction to Machine Learning,Data Science,8,Beginner,"Python, Scikit-learn, Statistics, Feature Engineering, Jupyter Notebooks","A foundational course covering supervised and unsupervised learning algorithms using Python and Scikit-learn. Topics include regression, classification, clustering, feature engineering, cross-validation, and model evaluation with statistical rigour."
2,Deep Learning Specialisation,AI & Deep Learning,12,Advanced,"TensorFlow, PyTorch, NumPy, Python, Data Visualisation","An advanced programme exploring neural network architectures including CNNs, RNNs, and Transformers using TensorFlow and PyTorch. Covers backpropagation, optimisation, regularisation, and deployment of deep learning models."
3,Big Data Engineering with Apache Spark,Data Engineering,10,Intermediate,"Apache Spark, Hadoop, Kafka, ETL Pipelines, Python, SQL","Hands-on training in distributed data processing using Apache Spark and Hadoop. Covers RDDs, DataFrames, Spark SQL, streaming with Kafka, and building robust ETL pipelines for large-scale datasets."
4,Cloud Computing & DevOps on AWS,Cloud & DevOps,8,Intermediate,"AWS, Docker, Kubernetes, CI/CD, Terraform, Linux, Bash Scripting","A practical course on cloud-native architecture using AWS services. Topics include containerisation with Docker and Kubernetes, infrastructure-as-code with Terraform, automated CI/CD pipelines, and cloud security best practices."
5,Natural Language Processing with Transformers,NLP & AI,10,Advanced,"NLP, BERT, Transformers, spaCy, Text Classification, LLMs, Python","An in-depth course on modern NLP using Hugging Face Transformers. Covers tokenisation, fine-tuning BERT and GPT models, named entity recognition, text classification, sentiment analysis, and prompt engineering for LLMs."
6,SQL & Database Management Systems,Databases,6,Beginner,"SQL, MySQL, PostgreSQL, Data Warehousing, ETL Pipelines","A comprehensive introduction to relational databases and SQL. Topics span schema design, normalisation, complex queries, stored procedures, indexing, query optimisation, and data warehousing concepts with MySQL and PostgreSQL."
7,Data Visualisation & Business Intelligence,Business Analytics,6,Beginner,"Tableau, Power BI, Excel, Business Intelligence, Data Visualisation, Reporting","Practical skills in storytelling with data using Tableau and Power BI. Covers dashboard design principles, KPI frameworks, Excel analytics, and communicating insights to non-technical stakeholders through effective visual reports."
8,Agile Project Management & Scrum,Business Analysis,5,Beginner,"Agile, JIRA, Scrum Master, Stakeholder Management, Requirements Gathering, Process Mapping","A structured course on Agile methodologies with focus on Scrum frameworks. Participants learn sprint planning, backlog grooming, stakeholder communication, requirements gathering, and using JIRA for project tracking in software teams."
9,MLOps: Deploying Machine Learning at Scale,MLOps,10,Advanced,"Python, Docker, Kubernetes, CI/CD, AWS, Monitoring, Scikit-learn, REST APIs, Git","End-to-end machine learning operations: model versioning, experiment tracking, containerised model serving with Docker and Kubernetes, CI/CD for ML, A/B testing, drift detection, and monitoring in production cloud environments."
10,Software Architecture & Microservices,Software Engineering,8,Intermediate,"Microservices, REST APIs, System Design, Node.js, Java, Docker, Git, Unit Testing","Advanced software design patterns including microservices architecture, API gateway patterns, service discovery, fault tolerance, and distributed system design. Uses Java and Node.js with hands-on system design exercises."
